Oryginalne dane
         X         Y
150  150.0  7.869874
151  151.0  6.708639
152  152.0  7.787915
153  153.0  7.607920
154  154.0  7.188261
155  155.0  7.364296
156  156.0  7.326142
157  157.0  7.839577
158  158.0  6.979811
159  159.0  7.604105
160  160.0  7.767407
161  161.0  7.110529
162  162.0  7.882733
163  163.0  8.035404
164  164.0  7.381873
165  165.0  6.903665
166  166.0  7.987627
167  167.0  7.331767
168  168.0  7.053743
169  169.0  7.337681
170  170.0  8.172685
171  171.0  6.218279
172  172.0  7.965281
173  173.0  7.896824
174  174.0  7.711896
175  175.0  7.765548
176  176.0  7.027455
177  177.0  7.514229
178  178.0  7.233606
179  179.0  6.634013
180  180.0  7.093151
181  181.0  7.291571
182  182.0  6.770982
183  183.0  7.240178
184  184.0  8.791062
185  185.0  8.081692
186  186.0  6.062673
187  187.0  7.024440
188  188.0  7.454363
189  189.0  6.888219
190  190.0  8.582852
191  191.0  7.492336
192  192.0  7.080364
193  193.0  6.284006
194  194.0  7.192880
195  195.0  7.361927
196  196.0  7.301522
197  197.0  7.152185
198  198.0  6.656289
199  199.0  7.221142
200  200.0  7.722031
201  201.0  7.195856
202  202.0  7.572897
203  203.0  7.191061
204  204.0  8.499659
205  205.0  6.944036
206  206.0  7.118466
207  207.0  8.185889
208  208.0  7.241347
209  209.0  6.589176
210  210.0  8.833475
211  211.0  6.286402
212  212.0  6.404404
213  213.0  7.448308
214  214.0  6.962953
215  215.0  7.305350
216  216.0  6.978396
217  217.0  6.863019
218  218.0  7.053753
219  219.0  5.509309
220  220.0  4.921987
221  221.0  6.139292
222  222.0  7.345773
223  223.0  5.084283
224  224.0  5.108892
225  225.0  5.595388
226  226.0  4.838813
227  227.0  5.684610
228  228.0  5.358553
229  229.0  4.708802
230  230.0  4.304617
231  231.0  5.308613
232  232.0  4.712630
233  233.0  5.692047
234  234.0  5.365152
235  235.0  4.224057
236  236.0  4.549622
237  237.0  3.808607
238  238.0  5.626340
239  239.0  5.229654
240  240.0  5.518784
241  241.0  5.193170
242  242.0  5.035594
243  243.0  5.144115
244  244.0  5.788207
245  245.0  4.913764
246  246.0  5.690698
247  247.0  4.723836
248  248.0  4.585651
249  249.0  5.136149
250  250.0  4.695326
251  251.0  5.569617
252  252.0  4.652044
253  253.0  6.912831
254  254.0  5.566804
255  255.0  5.147939
256  256.0  5.287099
257  257.0  5.460322
258  258.0  4.427382
259  259.0  5.558004
260  260.0  5.689434
261  261.0  5.501590
262  262.0  5.169547
263  263.0  5.941337
264  264.0  5.379711
265  265.0  5.998562
266  266.0  6.213029
267  267.0  2.999982
268  268.0  1.934579
269  269.0  2.521244
270  270.0  3.030949
271  271.0  2.763152
272  272.0  2.263124
273  273.0  2.778331
274  274.0  2.730333
275  275.0  2.398233
276  276.0  3.318172
277  277.0  2.273049
278  278.0  4.087439
279  279.0  1.549076
280  280.0  3.275409
281  281.0  3.840617
282  282.0  3.049087
283  283.0  2.185028
284  284.0  1.645521
285  285.0  3.345764
286  286.0  1.803783
287  287.0  2.567108
288  288.0  2.734920
289  289.0  3.011426
290  290.0  3.352066
291  291.0  3.964900
292  292.0  3.788001
293  293.0  1.792044
294  294.0  3.612069
295  295.0  3.683760
296  296.0  2.984111
297  297.0  3.169346
298  298.0  3.117661
299  299.0  2.434061
300  300.0  2.654640
301  301.0  4.857514
302  302.0  0.917367
303  303.0  3.459049
304  304.0  3.346107
305  305.0  1.689352
306  306.0  3.603775
307  307.0  2.243622
308  308.0  2.963541
309  309.0  3.415751
310  310.0  3.331920
311  311.0  2.973730
312  312.0  2.255120
313  313.0  2.714637
314  314.0  3.146865
315  315.0  2.780466
316  316.0  3.273476
317  317.0  2.778247
318  318.0  3.233659
319  319.0  2.865178
320  320.0  2.895387
321  321.0  2.143705
322  322.0  2.616864
323  323.0  3.217219
324  324.0  3.197610
325  325.0  2.974511
326  326.0  2.343087
327  327.0  3.999864
328  328.0  3.224433
329  329.0  3.852435
330  330.0  1.140855
331  331.0  3.240899
332  332.0  3.757911
333  333.0  3.510606
334  334.0  4.215972
335  335.0  1.859474
336  336.0  4.085784
337  337.0  2.596251
338  338.0  2.338611
339  339.0  0.975499
340  340.0  3.206214
341  341.0  3.622677
342  342.0  2.749481

Punkty Zmian - Segmentacja binarna
   Pkt. zmiany  Indeks pkt. zmiany  Koniec pkt. zmiany  Indeks konca pkt. zmiany   Srednia  Odch. std.
0          0.0                   0                69.0                        69  6.320028    0.699372
1         70.0                  70               129.0                       129  2.766120    0.832961
2        130.0                 130               219.0                       219  7.280462    0.888445
3        220.0                 220               264.0                       264  5.251037    0.624779
4        265.0                 265               341.0                       341  2.983582    0.904372

Punkty Zmian - Segmentacja oddolna
   Pkt. zmiany  Indeks pkt. zmiany  Koniec pkt. zmiany  Indeks konca pkt. zmiany   Srednia  Odch. std.
0          0.0                   0                69.0                        69  6.320028    0.699372
1         70.0                  70               129.0                       129  2.766120    0.832961
2        130.0                 130               219.0                       219  7.280462    0.888445
3        220.0                 220               264.0                       264  5.251037    0.624779
4        265.0                 265               341.0                       341  2.983582    0.904372

Punkty Zmian - PELT
   Pkt. zmiany  Indeks pkt. zmiany  Koniec pkt. zmiany  Indeks konca pkt. zmiany   Srednia  Odch. std.
0          0.0                   0                69.0                        69  6.320028    0.699372
1         70.0                  70               129.0                       129  2.766120    0.832961
2        130.0                 130               219.0                       219  7.280462    0.888445
3        220.0                 220               264.0                       264  5.251037    0.624779
4        265.0                 265               341.0                       341  2.983582    0.904372

Punkty Zmian - Okno przesuwne
   Pkt. zmiany  Indeks pkt. zmiany  Koniec pkt. zmiany  Indeks konca pkt. zmiany   Srednia  Odch. std.
0          0.0                   0               341.0                       341  5.057437    2.045295

